😀,face | grin
👩🏾‍🔧,electrician | mechanic | medium-dark skin tone | plumber | tradesperson | woman
👩🏿‍🔧,dark skin tone | electrician | mechanic | plumber | tradesperson | woman
👨‍🏭,assembly | factory | industrial | man | worker
👨🏻‍🏭,assembly | factory | industrial | light skin tone | man | worker
👨🏼‍🏭,assembly | factory | industrial | man | medium-light skin tone | worker
👨🏽‍🏭,assembly | factory | industrial | man | medium skin tone | worker
👨🏾‍🏭,assembly | factory | industrial | man | medium-dark skin tone | worker
👨🏿‍🏭,assembly | dark skin tone | factory | industrial | man | worker
👩‍🏭,assembly | factory | industrial | woman | worker
👩🏻‍🏭,assembly | factory | industrial | light skin tone | woman | worker
👩🏼‍🏭,assembly | factory | industrial | medium-light skin tone | woman | worker
👩🏽‍🏭,assembly | factory | industrial | medium skin tone | woman | worker
👩🏾‍🏭,assembly | factory | industrial | medium-dark skin tone | woman | worker
👩🏿‍🏭,assembly | dark skin tone | factory | industrial | woman | worker
👨‍💼,architect | business | man | manager | office | white-collar
👨🏻‍💼,architect | business | light skin tone | man | manager | office | white-collar
👨🏼‍💼,architect | business | man | manager | medium-light skin tone | office | white-collar
👨🏽‍💼,architect | business | man | manager | medium skin tone | office | white-collar
👨🏾‍💼,architect | business | man | manager | medium-dark skin tone | office | white-collar
👨🏿‍💼,architect | business | dark skin tone | man | manager | office | white-collar
👩‍💼,architect | business | manager | office | white-collar | woman
👩🏻‍💼,architect | business | light skin tone | manager | office | white-collar | woman
👩🏼‍💼,architect | business | manager | medium-light skin tone | office | white-collar | woman
👩🏽‍💼,architect | business | manager | medium skin tone | office | white-collar | woman
👩🏾‍💼,architect | business | manager | medium-dark skin tone | office | white-collar | woman
👩🏿‍💼,architect | business | dark skin tone | manager | office | white-collar | woman
👨‍🔬,biologist | chemist | engineer | man | mathematician | physicist | scientist
👨🏻‍🔬,biologist | chemist | engineer | light skin tone | man | mathematician | physicist | scientist
👨🏼‍🔬,biologist | chemist | engineer | man | mathematician | medium-light skin tone | physicist | scientist
👨🏽‍🔬,biologist | chemist | engineer | man | mathematician | medium skin tone | physicist | scientist
👨🏾‍🔬,biologist | chemist | engineer | man | mathematician | medium-dark skin tone | physicist | scientist
👨🏿‍🔬,biologist | chemist | dark skin tone | engineer | man | mathematician | physicist | scientist
👩‍🔬,biologist | chemist | engineer | mathematician | physicist | scientist | woman
👩🏻‍🔬,biologist | chemist | engineer | light skin tone | mathematician | physicist | scientist | woman
👩🏼‍🔬,biologist | chemist | engineer | mathematician | medium-light skin tone | physicist | scientist | woman
👩🏽‍🔬,biologist | chemist | engineer | mathematician | medium skin tone | physicist | scientist | woman
👩🏾‍🔬,biologist | chemist | engineer | mathematician | medium-dark skin tone | physicist | scientist | woman
👩🏿‍🔬,biologist | chemist | dark skin tone | engineer | mathematician | physicist | scientist | woman
👨‍💻,coder | developer | inventor | man | software | technologist
👨🏻‍💻,coder | developer | inventor | light skin tone | man | software | technologist
👨🏼‍💻,coder | developer | inventor | man | medium-light skin tone | software | technologist
👨🏽‍💻,coder | developer | inventor | man | medium skin tone | software | technologist
👨🏾‍💻,coder | developer | inventor | man | medium-dark skin tone | software | technologist
👨🏿‍💻,coder | dark skin tone | developer | inventor | man | software | technologist
👩‍💻,coder | developer | inventor | software | technologist | woman
👩🏻‍💻,coder | developer | inventor | light skin tone | software | technologist | woman
👩🏼‍💻,coder | developer | inventor | medium-light skin tone | software | technologist | woman
👩🏽‍💻,coder | developer | inventor | medium skin tone | software | technologist | woman
👩🏾‍💻,coder | developer | inventor | medium-dark skin tone | software | technologist | woman
👩🏿‍💻,coder | dark skin tone | developer | inventor | software | technologist | woman
👨‍🎤,actor | entertainer | man | rock | singer | star
👨🏻‍🎤,actor | entertainer | light skin tone | man | rock | singer | star
👨🏼‍🎤,actor | entertainer | man | medium-light skin tone | rock | singer | star
👨🏽‍🎤,actor | entertainer | man | medium skin tone | rock | singer | star
👨🏾‍🎤,actor | entertainer | man | medium-dark skin tone | rock | singer | star
👨🏿‍🎤,actor | dark skin tone | entertainer | man | rock | singer | star
👩‍🎤,actor | entertainer | rock | singer | star | woman
👩🏻‍🎤,actor | entertainer | light skin tone | rock | singer | star | woman
👩🏼‍🎤,actor | entertainer | medium-light skin tone | rock | singer | star | woman
👩🏽‍🎤,actor | entertainer | medium skin tone | rock | singer | star | woman
👩🏾‍🎤,actor | entertainer | medium-dark skin tone | rock | singer | star | woman
👩🏿‍🎤,actor | dark skin tone | entertainer | rock | singer | star | woman
👨‍🎨,artist | man | palette
👨🏻‍🎨,artist | light skin tone | man | palette
👨🏼‍🎨,artist | man | medium-light skin tone | palette
👨🏽‍🎨,artist | man | medium skin tone | palette
👨🏾‍🎨,artist | man | medium-dark skin tone | palette
👨🏿‍🎨,artist | dark skin tone | man | palette
👩‍🎨,artist | palette | woman
👩🏻‍🎨,artist | light skin tone | palette | woman
👩🏼‍🎨,artist | medium-light skin tone | palette | woman
👩🏽‍🎨,artist | medium skin tone | palette | woman
👩🏾‍🎨,artist | medium-dark skin tone | palette | woman
👩🏿‍🎨,artist | dark skin tone | palette | woman
👨‍✈️,man | pilot | plane
👨🏻‍✈️,light skin tone | man | pilot | plane
👨🏼‍✈️,man | medium-light skin tone | pilot | plane
👨🏽‍✈️,man | medium skin tone | pilot | plane
👨🏾‍✈️,man | medium-dark skin tone | pilot | plane
👨🏿‍✈️,dark skin tone | man | pilot | plane
👩‍✈️,pilot | plane | woman
👩🏻‍✈️,light skin tone | pilot | plane | woman
👩🏼‍✈️,medium-light skin tone | pilot | plane | woman
